reason,profit,win,loss,count,winRate
"空売り買い戻し: ゴールデンクロス",-43800,0,6,6,0.000
"空売り同値損切り",-750,0,1,1,0.000
"引け値強制決済",4600,7,10,17,0.412
"空売りトレイリング利確",27800,2,0,2,1.000
