reason,profit,win,loss,count,winRate
"空売り買い戻し: ゴールデンクロス",-18400,2,5,7,0.286
"空売り同値損切り",-600,0,1,1,0.000
"引け値強制決済",6400,3,2,5,0.600
"RSI買われすぎ+BB上限",13900,5,1,6,0.833
"トレイリング利確",106500,4,0,4,1.000
