date,hybridAccepted,skipped,win,loss,maxConcurrent
2026-06-01,0,0,0,0,0
2026-06-02,-600,0,0,1,1
2026-06-03,8400,0,1,0,1
2026-06-04,35600,0,4,0,2
2026-06-05,8100,0,2,0,2
