date,marketEfficiency,rangeBoundDay,totalProfit,winCount,lossCount,winRate
2026-06-01,0.595,false,0,0,0,0.000
2026-06-02,0.341,false,-600,0,1,0.000
2026-06-03,0.352,false,8400,1,0,1.000
2026-06-04,0.443,false,17000,3,0,1.000
2026-06-05,0.416,false,8100,2,0,1.000
