ID,日付,銘柄コード,銘柄名,方向,信頼度,エントリー時刻,エントリー価格,エグジット時刻,エグジット価格,損益(円),損益(%),エグジット理由,シグナル理由,BE発動,セッション,保有バー数,ロット数,最大含み益(%),最大含み損(%)
17,2026-06-18,5803,フジクラ,short,medium,14:12,4639.0,15:20,4570.0,29739,1.487,TIME,三尊（ヘッド&ショルダー）(ネックライン:4642.0円割れ)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,pm,67,43100,1.487,-0.065
27,2026-06-18,7011,三菱重工業,short,medium,14:17,3961.0,14:31,3980.8,-9982,-0.500,SL,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,pm,14,50400,0.000,-0.555
19,2026-06-18,6976,太陽誘電,short,medium,14:27,20880.0,14:36,20566.8,29754,1.500,TP,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,pm,9,9500,1.628,-0.216
28,2026-06-19,6920,レーザーテック,short,medium,09:24,56190.0,09:27,56470.9,-9833,-0.500,SL,大台割れ (56200円割り込み)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,am,3,3500,0.000,-0.801
61,2026-06-19,8035,東京エレクトロン,short,medium,09:25,75280.0,09:30,75656.4,-9786,-0.500,SL,大台割れ (75300円割り込み)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,am,5,2600,0.040,-0.624
64,2026-06-19,8316,三井住友FG,short,medium,09:26,6577.0,13:56,6478.3,29991,1.500,TP,大台割れ (6600円割り込み)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,pm,269,30400,1.505,-0.076
60,2026-06-19,7011,三菱重工業,short,medium,09:29,3885.0,14:16,3885.0,0,0.000,BE,大台割れ (3900円割り込み)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,pm,288,51400,1.364,-0.283
29,2026-06-19,6920,レーザーテック,short,medium,09:39,56330.0,10:16,55485.0,29573,1.500,TP,大台割れ (56400円割り込み)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,am,37,3500,1.527,0.000
62,2026-06-19,8035,東京エレクトロン,short,medium,09:41,75780.0,12:30,74643.3,29554,1.500,TP,大台割れ (75800円割り込み)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,pm,169,2600,1.518,-0.449
56,2026-06-19,9984,ソフトバンクG,short,medium,10:12,7436.0,10:48,7324.5,29893,1.500,TP,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,am,36,26800,1.614,-0.484
30,2026-06-19,6920,レーザーテック,short,medium,10:16,55470.0,10:18,55747.3,-9985,-0.500,SL,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,am,2,3600,0.000,-0.577
40,2026-06-19,6976,太陽誘電,short,medium,10:18,19275.0,10:21,19371.4,-9927,-0.500,SL,大台割れ (19300円割り込み)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,am,3,10300,0.000,-0.700
31,2026-06-19,6920,レーザーテック,short,medium,10:25,55680.0,11:06,54844.8,29232,1.500,TP,大台割れ (55700円割り込み)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,am,41,3500,1.563,-0.018
51,2026-06-19,6526,ソシオネクスト,short,medium,10:25,2751.5,10:28,2765.3,-9988,-0.500,SL,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,am,3,72600,0.055,-0.527
41,2026-06-19,6976,太陽誘電,short,medium,10:29,19240.0,10:31,19336.2,-9909,-0.500,SL,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,am,2,10300,0.000,-0.520
47,2026-06-19,6981,村田製作所,short,medium,10:29,12065.0,10:31,12125.3,-9954,-0.500,SL,大台割れ (12100円割り込み)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,am,2,16500,0.000,-0.663
52,2026-06-19,6526,ソシオネクスト,short,medium,10:35,2745.0,10:41,2745.0,0,0.000,BE,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,am,6,72800,0.510,-0.383
42,2026-06-19,6976,太陽誘電,short,medium,10:39,19295.0,11:05,19005.6,29811,1.500,TP,大台割れ (19300円割り込み)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,am,26,10300,2.073,-0.207
48,2026-06-19,6981,村田製作所,short,medium,10:40,12050.0,10:52,11869.3,29824,1.500,TP,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,am,12,16500,1.618,-0.249
37,2026-06-19,6857,アドバンテスト,short,medium,10:43,31440.0,11:22,31597.2,-9904,-0.500,SL,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,am,39,6300,0.127,-0.573
57,2026-06-19,9984,ソフトバンクG,short,medium,10:48,7316.0,12:34,7206.3,29959,1.500,TP,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,pm,107,27300,1.599,-0.096
49,2026-06-19,6981,村田製作所,short,medium,10:52,11855.0,11:01,11914.3,-9958,-0.500,SL,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,am,9,16800,0.042,-1.265
53,2026-06-19,6526,ソシオネクスト,short,medium,10:57,2737.0,12:29,2695.9,29970,1.500,TP,三尊（ヘッド&ショルダー）(ネックライン:2743.8円割れ)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,pm,92,73000,1.936,0.000
32,2026-06-19,6920,レーザーテック,short,medium,12:29,54750.0,12:39,54750.0,0,0.000,BE,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,pm,10,3600,0.603,0.000
43,2026-06-19,6976,太陽誘電,short,medium,12:29,18930.0,12:39,18930.0,0,0.000,BE,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,pm,10,10500,1.109,-0.343
54,2026-06-19,6526,ソシオネクスト,short,medium,12:29,2684.0,12:40,2684.0,0,0.000,BE,デッドクロス (MA5:2700.8 < MA25:2704.16, 乖離:0.12%)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,pm,11,74500,1.099,-0.205
33,2026-06-19,6920,レーザーテック,short,medium,13:00,54680.0,13:13,54953.4,-9842,-0.500,SL,大台割れ (54700円割り込み)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,pm,13,3600,0.183,-0.622
55,2026-06-19,6526,ソシオネクスト,short,medium,13:00,2668.5,15:20,2639.0,22096,1.105,TIME,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,pm,140,74900,1.293,-0.075
58,2026-06-19,9984,ソフトバンクG,short,medium,13:00,7133.0,13:16,7168.7,-9986,-0.500,SL,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,pm,16,28000,0.224,-0.505
63,2026-06-19,8035,東京エレクトロン,short,medium,13:00,74810.0,15:11,74810.0,0,0.000,BE,大台割れ (74900円割り込み)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,pm,131,2600,1.096,-0.334
38,2026-06-19,6857,アドバンテスト,short,medium,13:01,31350.0,13:11,31506.7,-9875,-0.500,SL,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,pm,10,6300,0.000,-0.606
44,2026-06-19,6976,太陽誘電,short,medium,13:07,18870.0,13:11,18964.3,-9907,-0.500,SL,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,pm,4,10500,0.106,-0.609
39,2026-06-19,6857,アドバンテスト,short,medium,13:19,31340.0,15:00,31340.0,0,0.000,BE,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,pm,101,6300,0.702,-0.319
45,2026-06-19,6976,太陽誘電,short,medium,13:19,18975.0,13:26,19069.9,-9962,-0.500,SL,大台割れ (19000円割り込み)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,pm,7,10500,0.000,-0.527
46,2026-06-19,6976,太陽誘電,short,medium,13:29,18990.0,13:57,19084.9,-9970,-0.500,SL,大台割れ (19000円割り込み)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,pm,28,10500,0.316,-0.527
34,2026-06-19,6920,レーザーテック,short,medium,13:30,54860.0,14:04,54037.1,29624,1.500,TP,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,pm,34,3600,1.622,-0.018
