取引番号,個別損益,累積損益,DD
287,-9994,648902,40726
288,-9986,638917,50711
289,-9991,628925,60703
290,29956,658881,30747
291,-9906,648975,40653
292,-9936,639039,50588
293,29609,668649,20979
294,-9994,658655,30973
295,0,658655,30973
296,0,658655,30973
297,0,658655,30973
298,-9654,649001,40627
299,-9987,639014,50613
300,-9987,629027,60601
301,-9882,619145,70483
302,-9892,609253,80375
303,29880,639133,50495
304,-9914,629219,60409
305,29802,659021,30607
306,-9992,649029,40599
307,-9981,639048,50580
308,13392,652440,37188
309,0,652440,37188
310,0,652440,37188
311,-9982,642458,47170
312,0,642458,47170
313,-9974,632484,57144
314,-9988,622495,67132
315,-9964,612532,77096
316,-9950,602582,87046
317,-9801,592781,96847
318,0,592781,96847
319,-9979,582802,106826
320,-9797,573005,116623
321,-9994,563011,126617
322,-9972,553039,136589
323,-9972,543068,146560
324,-9995,533073,156555
325,-9994,523079,166549
326,-9998,513081,176546
327,-9913,503168,186460
328,-9990,493178,196450
329,-9994,483184,206444
330,0,483184,206444
331,0,483184,206444
332,-9909,473275,216353
333,0,473275,216353
334,0,473275,216353
335,0,473275,216353
336,29964,503239,186389
337,-9899,493340,196288
338,0,493340,196288
339,-9987,483353,206275
340,29974,513327,176301
341,-9966,503361,186267
342,29625,532986,156642
343,29645,562630,126998
344,29951,592581,97047
345,29974,622555,67073
346,0,622555,67073
347,29926,652481,37147
348,-9988,642492,47136
349,-9994,632499,57129
350,-9979,622519,67109
351,0,622519,67109
352,29419,651939,37689
353,0,651939,37689
354,29965,681904,7724
355,29995,711898,0
356,29862,741760,0
357,-9996,731765,9996
358,0,731765,9996
359,0,731765,9996
360,0,731765,9996
361,0,731765,9996
362,0,731765,9996
363,-9995,721770,19991
364,0,721770,19991
365,0,721770,19991
366,0,721770,19991
367,0,721770,19991
368,-9811,711959,29802
369,0,711959,29802
370,-9981,701978,39783
371,-9971,692007,49753
372,-9817,682189,59571
373,29968,712157,29603
374,0,712157,29603
375,0,712157,29603
376,-9996,702161,39599
377,-9992,692170,49591
378,0,692170,49591
379,29980,722149,19611
380,-9995,712155,29606
381,29832,741987,0
382,0,741987,0
383,-9891,732095,9891
384,-9997,722098,19889
385,-9826,712272,29714
386,0,712272,29714
387,0,712272,29714
388,0,712272,29714
389,0,712272,29714
390,-9976,702296,39690
391,0,702296,39690
392,-9992,692304,49682
393,0,692304,49682
394,29981,722285,19701
395,0,722285,19701
396,0,722285,19701
397,-9996,712289,29698
398,-9995,702294,39692
399,-9882,692412,49574
400,0,692412,49574
401,0,692412,49574
402,-9976,682436,59550
403,0,682436,59550
404,0,682436,59550
405,0,682436,59550
406,-9989,672447,69539
407,-9982,662466,79521
408,-9986,652480,89507
409,29763,682243,59743
410,-9951,672292,69694
411,0,672292,69694
412,-9995,662298,79689
413,0,662298,79689
414,-9907,652391,89596
415,29964,682355,59631
416,-9989,672367,69620
417,-9993,662374,79613
418,-9990,652384,89603
419,-9692,642693,99294
420,0,642693,99294
421,0,642693,99294
422,-9916,632776,109210
423,-9988,622789,119198
424,0,622789,119198
425,29942,652730,89256
426,0,652730,89256
427,0,652730,89256
428,0,652730,89256
429,0,652730,89256
430,-9996,642734,99252
431,0,642734,99252
432,29741,672475,69512
433,-9996,662479,79508
434,-9948,652531,89456
435,550,653081,88906
436,0,653081,88906
437,-9940,643141,98846
438,-9974,633167,108820
439,0,633167,108820
440,29956,663122,78864
441,-9877,653246,88741
442,29646,682892,59095
443,29682,712574,29413
444,-9990,702584,39403
445,-9845,692738,49248
446,-9931,682808,59179
447,29066,711874,30113
448,0,711874,30113
449,-9983,701891,40095
450,0,701891,40095
451,29545,731437,10550
452,0,731437,10550
453,0,731437,10550
454,-9955,721481,20505
455,0,721481,20505
456,0,721481,20505
457,-9987,711494,30492
458,-9701,701793,40194
459,0,701793,40194
460,-9916,691877,50110
461,0,691877,50110
462,-9996,681881,60106
463,-9950,671931,70056
464,0,671931,70056
465,-9977,661954,80033
466,0,661954,80033
467,-9995,651959,90028
468,-9958,642001,99986
469,0,642001,99986
470,0,642001,99986
471,-9996,632005,109982
472,-9951,622054,119933
473,-9964,612089,129898
474,0,612089,129898
475,0,612089,129898
476,0,612089,129898
477,0,612089,129898
478,0,612089,129898
479,-9993,602096,139891
480,0,602096,139891
481,-9985,592111,149876
482,0,592111,149876
483,-9964,582146,159840
484,-9977,572170,169817
485,-9930,562240,179747
486,-9900,552340,189647
487,0,552340,189647
488,0,552340,189647
489,-9977,542363,199624
490,-9979,532384,209603
491,0,532384,209603
492,-9969,522415,219572
493,-9849,512566,229421
494,0,512566,229421
495,0,512566,229421
496,29700,542266,199721
497,0,542266,199721
498,0,542266,199721
499,29879,572145,169842
500,0,572145,169842
501,-9952,562193,179794
502,0,562193,179794
503,29081,591274,150713
504,0,591274,150713
505,0,591274,150713
506,0,591274,150713
507,7536,598810,143177
508,-9999,588811,153176
509,-9832,578979,163008
510,-9923,569056,172930
511,-9840,559216,182770
512,0,559216,182770
513,-9935,549281,192706
514,-9988,539293,202694
515,-9997,529296,212691
516,-10000,519296,222691
517,29927,549222,192764
518,29931,579153,162833
519,0,579153,162833
520,0,579153,162833
521,-9991,569162,172824
522,0,569162,172824
523,0,569162,172824
524,7429,576591,165395
525,0,576591,165395
526,0,576591,165395
527,-9989,566602,175384
528,0,566602,175384
529,0,566602,175384
530,-9993,556609,185378
531,0,556609,185378
532,544,557153,184834
533,-9985,547168,194818
534,29755,576923,165064
535,0,576923,165064
536,-9982,566941,175045
537,-10000,556942,185045
538,5304,562246,179741
539,-9976,552270,189717
540,-9925,542345,199642
541,-4329,538016,203971
542,0,538016,203971
543,1629,539645,202342
544,-9965,529680,212307
