date,symbol,entryTime,entryPrice,exitPrice,pnl,win,hour,minute,timeMinutes,volumeRatio,atrRatio,adx,boardScore,boardSignal,buyPressureRatio,largeBuyWall,largeSellWall,regime,slope,vwapDeviation,ma5_above_ma25_5m,ma5_5m,ma25_5m,rsi,bbPosition,roundUnit,barsAboveRound
"2026-06-25","5016","09:28",4771,4755,1600,1,9,28,568,0.9972615244180739,0.008713357487199449,0,2,"sell_pressure",0.49,0,0,"down",-0.0021734672954685256,-0.014994516319146027,0,4833.4,0,37.606837606837615,0.12597445086982864,100,6
"2026-06-25","5016","11:02",4890,4892,-200,0,11,2,662,1.8282185628742516,0.0029360210341805434,44.803379117139684,2,"sell_pressure",0.58,0,0,"down",-0.0006703229737964656,0.00984025118909154,0,4894.8,0,50,0.3651955158389379,100,10
"2026-06-25","5803","09:24",6483,6428,5500,1,9,24,564,1.7165426507063517,0.009023600185099491,0,2,"sell_pressure",0.24,0,0,"down",-0.0013992395437262357,-0.010952458495847308,0,0,0,48.6140724946695,0.5,100,10
"2026-06-25","5803","09:32",6387,6428,-4100,0,9,32,572,1.5129119945633707,0.007839584871055044,0,2,"sell_pressure",0.2,0,0,"down",-0.0031832651205093224,-0.022235996341755337,0,6489,0,32.13429256594725,-0.02974228738947723,100,8
"2026-06-25","5803","09:44",6394,6443,-4900,0,9,44,584,2.0205612670186164,0.0055409088877965956,16.49481243864366,2,"sell_pressure",0.21,0,0,"down",-0.0005289359054138146,-0.01861642901338334,0,6438.4,0,35.34136546184739,0.011067445953593052,100,10
"2026-06-25","5803","09:46",6378,6412,-3400,0,9,46,586,1.975212611491392,0.005095641266854813,24.962648290127387,2,"sell_pressure",0.2,0,0,"down",-0.0010242085661080075,-0.020374666022031324,0,6435.2,0,47.84688995215311,-0.01185961679591436,100,10
"2026-06-25","5803","09:59",6396,6346,5000,1,9,59,599,1.358018412084838,0.004355400696864111,13.460325677769168,2,"sell_pressure",0.21,0,0,"down",-0.0002495321272613849,-0.015552234110539721,0,6417.2,0,47.39583333333333,0.23547037030357468,100,10
"2026-06-25","5803","11:10",6390,6425,-3500,0,11,10,670,1.5170442515350413,0.0019561815336463224,23.503167882518362,2,"sell_pressure",0.22,0,0,"down",-0.0004982871379632513,-0.009819767667190303,0,6416.6,6423.72,29.885057471264375,-0.1944208739323432,100,10
"2026-06-25","5803","12:37",6397,6363,3400,1,12,37,757,0.972495930083112,0.0020880323365863466,31.590890568432368,2,"sell_pressure",0.22,0,0,"down",-0.00040479526700918576,-0.008092810667019721,1,6414.8,6413.96,30.30303030303031,-0.21636247925445837,100,10
"2026-06-25","6526","09:21",2598,2582,4800,1,9,21,561,1.3756469626804686,0.005979874628835368,0,2,"sell_pressure",0.29,0,0,"down",-0.0017397881996974282,-0.020257534448480982,0,0,0,7.831325301204814,0.07169673083191944,100,10
