reason,profit,win,loss,count,winRate
"空売り買い戻し: ゴールデンクロス",-491700,83,250,333,0.249
"引け値強制決済",-268850,18,43,61,0.295
"損切り",-113850,0,4,4,0.000
"同値損切り",-109950,0,11,11,0.000
"空売り同値損切り",-37900,0,23,23,0.000
"空売り損切り",-29000,0,1,1,0.000
"トレイリング利確",142650,6,0,6,1.000
"RSI買われすぎ+BB上限",260550,57,17,74,0.770
"空売りトレイリング利確",589400,43,0,43,1.000
