month,profit,win,loss,trades,winRate,days,posDays,posRate,avgPerDay
2025-11,256850,69,54,123,0.561,18,10,0.556,14269
2025-12,327600,58,50,108,0.537,22,14,0.636,14891
2026-01,-246400,25,42,67,0.373,19,6,0.316,-12968
2026-02,34150,34,35,69,0.493,18,8,0.444,1897
2026-03,175400,46,54,100,0.460,21,7,0.333,8352
2026-04,319400,36,28,64,0.563,21,12,0.571,15210
2026-05,246950,23,24,47,0.489,18,8,0.444,13719
