filter,month,profit,avgPerDay,posDays,days
"FA10+FB55+FD0.45",2026-02,-10700,-594,3,18
"FA10+FB55+FD0.45",2026-03,13150,626,2,21
"FA10+FB55+FD0.45",2026-04,-3200,-152,6,21
"FA10+FB55+FD0.45",2026-05,94800,5267,3,18
"FA10+FB55+FC2.0+FD0.45",2025-11,-4100,-228,3,18
"FA10+FB55+FC2.0+FD0.45",2025-12,55400,2518,6,22
"FA10+FB55+FC2.0+FD0.45",2026-01,-61950,-3261,2,19
"FA10+FB55+FC2.0+FD0.45",2026-02,-10700,-594,3,18
"FA10+FB55+FC2.0+FD0.45",2026-03,13150,626,2,21
"FA10+FB55+FC2.0+FD0.45",2026-04,-3200,-152,6,21
"FA10+FB55+FC2.0+FD0.45",2026-05,94800,5267,3,18
"FA15+FB55+FC1.5+FD0.45",2025-11,-4100,-228,3,18
"FA15+FB55+FC1.5+FD0.45",2025-12,55400,2518,6,22
"FA15+FB55+FC1.5+FD0.45",2026-01,-61950,-3261,2,19
"FA15+FB55+FC1.5+FD0.45",2026-02,-10700,-594,3,18
"FA15+FB55+FC1.5+FD0.45",2026-03,13150,626,2,21
"FA15+FB55+FC1.5+FD0.45",2026-04,-3200,-152,6,21
"FA15+FB55+FC1.5+FD0.45",2026-05,94800,5267,3,18
